2022-05-12 11:57:26.172[1652367446172] | INFO  | Thread-15  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=HIVEUSDT&interval=1m
2022-05-12 11:57:26.172[1652367446172] | INFO  | Thread-9   | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=MANAUSDT&interval=1m
2022-05-12 11:57:26.172[1652367446172] | INFO  | Thread-13  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=ZECUSDT&interval=1m
2022-05-12 11:57:26.172[1652367446172] | INFO  | Thread-4   | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=DEXEUSDT&interval=1m
2022-05-12 11:57:26.172[1652367446172] | INFO  | Thread-7   | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=SKLUSDT&interval=1m
2022-05-12 11:57:26.172[1652367446172] | INFO  | Thread-11  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=VGXUSDT&interval=1m
2022-05-12 11:57:26.172[1652367446172] | INFO  | Thread-8   | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=DODOUSDT&interval=1m
2022-05-12 11:57:26.174[1652367446174] | INFO  | Thread-16  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=DNTUSDT&interval=1m
2022-05-12 11:57:26.172[1652367446172] | INFO  | Thread-6   | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=TRXUSDT&interval=1m
2022-05-12 11:57:26.175[1652367446175] | INFO  | Thread-17  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=LRCUSDT&interval=1m
2022-05-12 11:57:26.175[1652367446175] | INFO  | Thread-18  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=FILUSDT&interval=1m
2022-05-12 11:57:26.175[1652367446175] | INFO  | Thread-19  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=LOKAUSDT&interval=1m
2022-05-12 11:57:26.176[1652367446176] | INFO  | Thread-20  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=XVSUSDT&interval=1m
2022-05-12 11:57:26.176[1652367446176] | INFO  | Thread-21  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=FLUXUSDT&interval=1m
2022-05-12 11:57:26.176[1652367446176] | INFO  | Thread-22  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BANDUSDT&interval=1m
2022-05-12 11:57:26.176[1652367446176] | INFO  | Thread-23  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=FRONTUSDT&interval=1m
2022-05-12 11:57:26.177[1652367446177] | INFO  | Thread-24  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=USTUSDT&interval=1m
2022-05-12 11:57:26.177[1652367446177] | INFO  | Thread-25  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=ANCUSDT&interval=1m
2022-05-12 11:57:26.177[1652367446177] | INFO  | Thread-26  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=HOTUSDT&interval=1m
